state,county,fy21_so_far
CA,Alameda County,53
CA,Los Angeles County,325
CT,Fairfield County,69
FL,Collier County,50
FL,Hillsborough County,50
FL,Miami-Dade County,148
FL,Orange County,59
FL,Palm Beach County,125
GA,DeKalb County,92
GA,Gwinnett County,65
IL,Cook County,60
IN,Marion County,52
LA,Jefferson Parish,62
MD,Montgomery County,76
MD,Prince George's County,123
NC,Mecklenburg County,82
NJ,Essex County,76
NJ,Mercer County,51
NJ,Union County,78
NY,Bronx County,56
NY,Kings County,159
NY,Nassau County,76
NY,Queens County,148
NY,Rockland County,59
NY,Suffolk County,124
NY,Westchester County,57
TN,Davidson County,115
TN,Shelby County,56
TX,Bexar County,56
TX,Dallas County,168
TX,Harris County,475
TX,Travis County,89
VA,Fairfax County,89
