state,fy15,fy16,fy17,fy18,fy19,fy20,fy21_so_far
Alabama,808,870,598,736,1111,247,125
Alaska,2,5,3,0,4,0,0
Arizona,167,330,322,258,493,162,40
Arkansas,186,309,272,193,359,87,50
California,3629,7381,6268,4675,8447,2225,705
Colorado,248,427,379,313,714,172,67
Connecticut,206,454,412,332,959,260,122
Delaware,152,275,178,222,383,107,38
District of Columbia,201,432,294,138,322,48,15
Florida,2908,5281,4059,4131,7408,1523,706
Georgia,1041,1735,1350,1261,2558,559,305
Hawaii,2,4,4,1,16,6,0
Idaho,11,39,11,28,62,19,7
Illinois,312,519,462,475,863,211,97
Indiana,240,354,366,394,794,209,93
Iowa,201,352,277,238,489,119,53
Kansas,245,326,289,305,453,95,37
Kentucky,274,503,364,370,710,158,69
Louisiana,480,973,1043,931,1966,355,196
Maine,4,9,11,22,26,11,9
Maryland,1794,3871,2957,1723,4671,825,343
Massachusetts,738,1541,1077,814,1756,448,165
Michigan,132,227,160,136,248,74,23
Minnesota,243,318,320,294,624,151,82
Mississippi,207,300,237,299,482,108,58
Missouri,170,261,234,203,431,93,42
Montana,2,0,2,3,0,2,0
Nebraska,293,486,355,374,563,130,70
Nevada,137,283,229,132,324,79,17
New Hampshire,14,25,27,20,25,8,5
New Jersey,1462,2637,2268,1877,4236,921,429
New Mexico,19,65,46,43,89,34,8
New York,2630,4985,3938,2845,6367,1663,745
North Carolina,844,1493,1290,1110,2522,610,282
North Dakota,2,10,3,2,10,1,0
Ohio,483,693,584,547,1091,260,100
Oklahoma,225,301,267,286,581,120,60
Oregon,122,188,170,200,318,71,35
Pennsylvania,333,604,501,563,1229,271,108
PR,0,0,0,1,3,3,0
Rhode Island,185,269,234,235,453,92,27
South Carolina,294,562,483,508,1012,255,94
South Dakota,61,81,81,96,149,44,16
Tennessee,765,1354,1066,1173,2191,510,280
Texas,3272,6550,5391,4136,9900,2336,1014
Utah,62,126,99,97,179,75,16
Vermont,1,1,0,2,6,1,1
Virginia,1694,3728,2888,1650,4215,770,328
Washington,283,476,494,435,723,237,97
West Virginia,12,26,23,23,41,4,2
Wisconsin,38,85,94,98,246,62,24
Wyoming,6,23,14,15,15,6,2
Virgin Islands,0,0,3,0,0,0,0
TOTAL,27840,52147,42497,34953,72837,16837,7207
